Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_mile,Duration_seconds
4,17,1,17,45.0,37.0,41.1875,0.008027744364952143,0.5333333333333333
5,38,1,38,48.0,38.0,44.648648648648646,0.019856185793917652,1.2333333333333334
12,59,1,59,47.0,39.0,44.36206896551724,0.033745299470908256,1.9333333333333333
22,26,1,26,52.0,47.0,49.16,0.015864213051863852,0.8333333333333334
2,86,2,87,46.0,35.0,43.705882352941174,0.04724133362157154,2.8333333333333335
10,111,27,137,37.0,26.0,34.89090909090909,0.04694395434975454,3.6666666666666665
15,319,42,360,49.0,1.0,22.070588235294117,0.04203870109036449,10.6
14,306,55,360,38.0,1.0,24.104166666666668,0.039965380682081324,10.166666666666666
27,42,63,107,88.0,37.0,43.926829268292686,0.021511585493206413,1.4666666666666666
47,83,69,163,64.0,35.0,42.19512195121951,0.046028749532832175,3.1333333333333333
24,103,83,186,47.0,32.0,35.21568627450981,0.04474980986021368,3.433333333333333
55,96,91,186,49.0,33.0,38.305263157894736,0.04668639900117176,3.1666666666666665
29,110,116,225,36.0,28.0,33.19266055045872,0.045939895847098795,3.6333333333333333
63,96,144,239,74.0,34.0,40.89473684210526,0.046258077185450455,3.1666666666666665
72,87,169,255,54.0,41.0,43.01162790697674,0.04672068474201058,2.8666666666666667
79,102,194,296,42.0,34.0,36.336633663366335,0.046784339483549535,3.4
52,161,200,360,30.0,12.0,18.46875,0.03782688048337749,5.333333333333333
51,145,215,360,41.0,1.0,12.801980198019802,0.014381615074181009,4.833333333333333
90,102,215,316,48.0,32.0,35.68316831683168,0.0466810208908942,3.3666666666666667
94,102,238,339,40.0,31.0,37.16831683168317,0.04760126861660934,3.3666666666666667
53,120,241,360,14.0,7.0,11.394957983193278,0.017012228580512108,3.966666666666667
101,96,253,348,41.0,35.0,37.50526315789474,0.04667923539437065,3.1666666666666665
104,100,255,354,61.0,34.0,37.02020202020202,0.04673183546067921,3.3
118,77,284,360,38.0,33.0,35.578947368421055,0.034319515358681774,2.533333333333333
112,75,286,360,37.0,30.0,33.608108108108105,0.032136851831087956,2.466666666666667
129,46,315,360,35.0,28.0,33.4,0.02009456050895235,1.5
131,33,328,360,33.0,31.0,31.9375,0.013686481408547804,1.0666666666666667
135,19,342,360,34.0,32.0,32.888888888888886,0.007945610558211367,0.6
