Vehicle_ID,Class_Name,Lane_ID,Is_Emergency_Lane,Is_Speeding,Frame,Timestamp,Speed_mph,Image_X,Image_Y,World_X,World_Y,Image_Trace_Length,World_Trace_Length
4,car,10,True,False,1,2026-03-02 15:52:50.053,0.0,619.8006591796875,138.96035766601562,13.384811401367188,20.199462890625,1,1
4,car,10,True,False,2,2026-03-02 15:52:50.424,45.0,615.951171875,137.84146118164062,13.353106498718262,19.347816467285156,2,2
4,car,10,True,False,3,2026-03-02 15:52:50.796,43.0,613.4653930664062,136.71009826660156,13.370217323303223,18.562591552734375,3,3
4,car,10,True,False,4,2026-03-02 15:52:51.170,42.0,610.5468139648438,135.93685913085938,13.338781356811523,17.94131851196289,4,4
4,car,10,True,False,5,2026-03-02 15:52:51.528,37.0,608.2925415039062,135.4400177001953,13.30490493774414,17.514278411865234,5,5
4,car,10,True,False,6,2026-03-02 15:52:51.877,42.0,603.1642456054688,133.76138305664062,13.278374671936035,16.211069107055664,6,6
4,car,10,True,False,7,2026-03-02 15:52:52.222,43.0,599.59375,132.54754638671875,13.263813972473145,15.258830070495605,7,7
4,car,10,True,False,8,2026-03-02 15:52:52.574,42.0,597.321533203125,131.8987579345703,13.242645263671875,14.719130516052246,8,8
4,car,10,True,False,9,2026-03-02 15:52:52.924,38.0,595.1331176757812,131.04263305664062,13.244172096252441,14.05349063873291,9,9
4,car,10,True,False,10,2026-03-02 15:52:53.272,42.0,590.824951171875,129.01809692382812,13.280149459838867,12.50665283203125,10,10
4,car,10,True,False,11,2026-03-02 15:52:53.616,43.0,586.5682373046875,127.94137573242188,13.225921630859375,11.53082275390625,11,11
4,car,10,True,False,12,2026-03-02 15:52:53.964,42.0,583.8614501953125,127.12004852294922,13.204386711120605,10.813498497009277,12,12
4,car,10,True,False,13,2026-03-02 15:52:54.310,40.0,581.8128662109375,126.32710266113281,13.204808235168457,10.152310371398926,13,13
4,car,9,False,False,14,2026-03-02 15:52:54.664,38.0,579.29541015625,125.6455078125,13.17628288269043,9.524608612060547,14,14
4,car,9,False,False,15,2026-03-02 15:52:55.013,40.0,575.61279296875,124.66172790527344,13.132708549499512,8.603801727294922,15,15
4,car,9,False,False,16,2026-03-02 15:52:55.357,42.0,572.792236328125,123.78984832763672,13.11072063446045,7.808134078979492,16,16
4,car,9,False,False,17,2026-03-02 15:52:55.707,40.0,570.8676147460938,123.23695373535156,13.091337203979492,7.2883620262146,17,17
