Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_m,Duration_seconds
6,20,1,20,40.0,18.0,34.0,9.633744223311409,0.6333333333333333
11,54,1,54,40.0,16.0,34.9622641509434,27.809198051122443,1.7666666666666666
29,49,1,49,31.0,14.0,28.4375,20.42606781802855,1.6
36,13,1,13,34.0,14.0,29.25,5.580705539791573,0.4
13,82,11,93,38.0,25.0,35.851851851851855,44.69252857077007,2.7333333333333334
57,2,15,16,31.0,31.0,31.0,0.46574511926798573,0.03333333333333333
14,96,24,120,32.0,8.0,29.757894736842104,44.352234668517625,3.2
63,26,29,57,31.0,28.0,29.52,12.137717169639597,0.9333333333333333
107,8,42,49,31.0,28.0,30.428571428571427,3.2564869379299397,0.23333333333333334
125,78,53,130,32.0,29.0,30.051948051948052,34.62393607977523,2.566666666666667
145,104,74,177,31.0,28.0,29.359223300970875,45.76615546954298,3.433333333333333
161,2,74,75,29.0,29.0,29.0,0.441812090434898,0.03333333333333333
162,2,74,76,33.0,33.0,33.0,0.4959418072088412,0.06666666666666667
168,2,79,81,29.0,29.0,29.0,0.4440250331697678,0.06666666666666667
18,101,80,180,31.0,25.0,29.18,44.83491519793838,3.3333333333333335
158,86,81,167,36.0,33.0,34.92941176470588,44.93587244499435,2.8666666666666667
204,5,99,105,37.0,31.0,34.5,3.2115814143673607,0.2
209,3,102,104,32.0,30.0,31.0,0.9727659863618918,0.06666666666666667
212,104,117,220,30.0,28.0,29.281553398058254,45.72754611197654,3.433333333333333
27,89,125,214,35.0,30.0,32.72727272727273,44.62047007650172,2.966666666666667
12,94,130,223,32.0,25.0,29.612903225806452,42.75384589316267,3.1
26,97,169,266,31.0,26.0,29.322916666666668,44.156852749543056,3.2333333333333334
382,2,179,180,31.0,31.0,31.0,0.4702204085658374,0.03333333333333333
392,27,193,304,49.0,24.0,26.923076923076923,44.57557842626078,3.7
410,3,196,198,35.0,31.0,33.0,1.0700528575310762,0.06666666666666667
441,4,210,213,27.0,27.0,27.0,1.2451864599621936,0.1
439,2,210,211,61.0,61.0,61.0,0.9214728195180472,0.03333333333333333
453,4,218,223,65.0,29.0,42.333333333333336,2.452734678526831,0.16666666666666666
38,95,225,320,32.0,24.0,29.829787234042552,44.08450100076214,3.1666666666666665
465,1,227,227,0,0,0,0.0,0.0
461,95,233,327,33.0,30.0,31.914893617021278,44.96512559339823,3.1333333333333333
42,90,265,355,34.0,26.0,32.01123595505618,44.04261760153333,3.0
541,111,289,399,29.0,26.0,27.745454545454546,45.789454373514445,3.6666666666666665
579,2,301,302,22.0,22.0,22.0,0.3368044888466941,0.03333333333333333
580,5,303,307,63.0,34.0,44.75,2.461474567932877,0.13333333333333333
575,96,306,401,33.0,30.0,31.894736842105264,45.67528171036157,3.1666666666666665
131,97,318,414,33.0,23.0,30.614583333333332,45.06968148584734,3.2
598,2,321,322,65.0,65.0,65.0,0.9816851982525581,0.03333333333333333
608,4,326,330,36.0,31.0,33.666666666666664,2.117366983156425,0.13333333333333333
398,101,333,433,31.0,23.0,29.06,44.70926685690619,3.3333333333333335
605,25,334,439,29.0,17.0,26.833333333333332,45.12366126862281,3.5
267,96,345,440,33.0,27.0,31.33684210526316,45.30242881777228,3.1666666666666665
183,94,375,468,33.0,18.0,30.78494623655914,44.09674274793168,3.1
358,88,397,484,35.0,14.0,32.88505747126437,44.3959913245152,2.9
354,93,414,506,33.0,27.0,30.97826086956522,43.82973933534418,3.066666666666667
812,3,470,472,33.0,31.0,32.0,0.9949762560250399,0.06666666666666667
476,82,481,563,37.0,22.0,34.23456790123457,43.913936433781075,2.7333333333333334
865,102,504,605,31.0,28.0,30.138613861386137,45.770351765129035,3.3666666666666667
525,91,507,597,34.0,26.0,31.933333333333334,44.32752086767576,3.0
588,86,507,592,40.0,33.0,34.976470588235294,44.84861076702533,2.8333333333333335
910,8,524,531,73.0,37.0,45.142857142857146,4.478788932033507,0.23333333333333334
428,98,529,627,31.0,26.0,29.257731958762886,44.10966579108405,3.2666666666666666
1004,97,578,674,32.0,29.0,31.458333333333332,45.345702677412376,3.2
1076,7,601,607,66.0,32.0,41.166666666666664,3.425266783679762,0.2
602,98,611,708,31.0,26.0,28.721649484536083,43.25553260899526,3.2333333333333334
1106,2,611,612,30.0,30.0,30.0,0.4547700593138065,0.03333333333333333
1100,41,618,714,156.0,30.0,39.2,44.51246249751013,3.2
1208,2,665,666,28.0,28.0,28.0,0.4233274092447117,0.03333333333333333
1252,2,687,689,28.0,28.0,28.0,0.4276716563942048,0.06666666666666667
1281,6,704,710,46.0,30.0,35.2,2.6537116381056483,0.2
814,87,740,826,35.0,29.0,33.03488372093023,43.78002784684813,2.8666666666666667
1393,87,768,855,35.0,33.0,34.27906976744186,44.884085770063734,2.9
1399,98,769,872,30.0,28.0,29.329896907216494,45.48265851330646,3.433333333333333
1436,6,779,784,30.0,25.0,28.4,2.2040124554319838,0.16666666666666666
905,94,781,874,34.0,28.0,31.537634408602152,45.21505748507118,3.1
1440,18,781,798,39.0,33.0,36.05882352941177,9.148118529952667,0.5666666666666667
1483,56,810,910,43.0,26.0,29.12727272727273,45.00685247994403,3.3333333333333335
1500,4,810,813,32.0,29.0,30.0,1.3939257670940974,0.1
1567,2,837,838,64.0,64.0,64.0,0.9665498724079047,0.03333333333333333
1609,89,861,949,35.0,32.0,33.57954545454545,44.64580924907417,2.933333333333333
1694,4,900,903,32.0,31.0,31.666666666666668,1.3991065313970728,0.1
