Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_kmh,Min_Speed_kmh,Avg_Speed_kmh,Total_Distance_m,Duration_seconds
1,33,1,33,114.0,23.0,97.82758620689656,36.82321621908201,1.0666666666666667
2,33,1,33,45.0,17.0,40.793103448275865,14.46907588604372,1.0666666666666667
3,33,1,33,42.0,12.0,37.37931034482759,13.158944358912404,1.0666666666666667
4,12,1,12,116.0,47.0,99.75,11.50260068798649,0.36666666666666664
5,33,1,33,40.0,1.0,33.16129032258065,13.49810866948695,1.0666666666666667
6,33,1,33,38.0,12.0,32.51724137931034,13.202456029869218,1.0666666666666667
7,33,1,33,54.0,1.0,32.935483870967744,15.698285033833058,1.0666666666666667
8,33,1,33,111.0,15.0,89.55172413793103,35.964277541986014,1.0666666666666667
9,33,1,33,41.0,5.0,34.172413793103445,14.291947470903226,1.0666666666666667
11,33,1,33,92.0,5.0,62.206896551724135,29.185977633264702,1.0666666666666667
12,15,1,15,48.0,2.0,31.454545454545453,6.900317220447311,0.4666666666666667
14,29,1,29,43.0,15.0,35.76,12.566439712281953,0.9333333333333333
15,33,1,33,42.0,3.0,32.0,13.366252044460087,1.0666666666666667
16,7,1,7,109.0,48.0,84.66666666666667,5.153910256321235,0.2
18,33,1,33,45.0,10.0,38.13793103448276,14.636029791299844,1.0666666666666667
20,32,1,33,44.0,21.0,41.857142857142854,14.528282230213748,1.0666666666666667
21,33,1,33,116.0,14.0,104.03448275862068,37.23017979576391,1.0666666666666667
25,7,1,7,43.0,22.0,35.666666666666664,2.0513589198858524,0.2
38,1,14,14,0,0,0,0.0,0.0
52,5,19,23,40.0,39.0,39.25,1.8678450857656435,0.13333333333333333
55,7,27,33,50.0,47.0,48.666666666666664,3.309218501575268,0.2
17,3,31,33,136.0,106.0,121.0,2.377796735946836,0.06666666666666667
66,1,31,31,0,0,0,0.0,0.0
28,3,31,33,250.0,148.0,199.0,3.296426791260167,0.06666666666666667
