Vehicle_ID,Class_Name,Lane_ID,Is_Emergency_Lane,Frame,Timestamp,Speed_mph,Image_X,Image_Y,World_X,World_Y,Image_Trace_Length,World_Trace_Length
6,car,6,False,1,2026-02-18 15:05:56.411,0.0,1146.9451904296875,283.0252685546875,12.034039497375488,13.66528606414795,1,1
6,car,6,False,2,2026-02-18 15:05:57.229,32.0,1141.546630859375,280.5553283691406,12.037386894226074,13.186426162719727,2,2
6,car,6,False,3,2026-02-18 15:05:57.954,18.0,1140.6221923828125,280.1252746582031,12.038313865661621,13.102526664733887,3,3
6,car,6,False,4,2026-02-18 15:05:58.667,32.0,1131.365478515625,275.9023132324219,12.043594360351562,12.263418197631836,4,4
6,car,6,False,5,2026-02-18 15:05:59.433,36.0,1124.077880859375,272.95037841796875,12.029162406921387,11.64985179901123,5,5
6,car,6,False,6,2026-02-18 15:06:00.195,40.0,1117.80419921875,270.0429382324219,12.035017967224121,11.048736572265625,6,6
6,car,6,False,7,2026-02-18 15:06:00.944,38.0,1111.75244140625,267.4370422363281,12.030630111694336,10.492982864379883,7,7
6,car,6,False,8,2026-02-18 15:06:01.713,37.0,1106.0712890625,265.152587890625,12.018123626708984,9.991493225097656,8,8
6,car,6,False,9,2026-02-18 15:06:02.494,35.0,1100.431396484375,262.955810546875,12.00184154510498,9.498947143554688,9,9
6,car,6,False,10,2026-02-18 15:06:03.243,35.0,1094.837158203125,260.629638671875,11.993110656738281,8.97580337524414,10,10
6,car,6,False,11,2026-02-18 15:06:03.973,36.0,1089.46240234375,258.1338806152344,11.998282432556152,8.416065216064453,11,11
6,car,6,False,12,2026-02-18 15:06:04.718,35.0,1084.09033203125,255.88128662109375,11.990729331970215,7.893509864807129,12,12
6,car,6,False,13,2026-02-18 15:06:05.482,35.0,1078.7889404296875,253.8199462890625,11.97454833984375,7.401356220245361,13,13
6,car,6,False,14,2026-02-18 15:06:06.221,35.0,1074.0260009765625,251.73605346679688,11.972237586975098,6.907142639160156,14,14
6,car,6,False,15,2026-02-18 15:06:06.979,34.0,1068.8790283203125,249.9484100341797,11.94465160369873,6.45842981338501,15,15
6,car,6,False,16,2026-02-18 15:06:07.733,33.0,1063.84130859375,247.90841674804688,11.93303394317627,5.954426288604736,16,16
6,car,6,False,17,2026-02-18 15:06:08.476,34.0,1059.15380859375,245.80599975585938,11.933222770690918,5.436455726623535,17,17
6,car,6,False,18,2026-02-18 15:06:09.220,34.0,1054.310302734375,243.79327392578125,11.924633979797363,4.926699161529541,18,18
6,car,6,False,19,2026-02-18 15:06:09.995,34.0,1049.839599609375,241.91009521484375,11.917999267578125,4.444126605987549,19,19
6,car,6,False,20,2026-02-18 15:06:10.695,33.0,1045.18994140625,240.4115753173828,11.885407447814941,4.035033702850342,20,20
11,car,3,False,1,2026-02-18 15:05:56.411,0.0,758.0050659179688,379.04962158203125,1.7991498708724976,20.788677215576172,1,1
11,car,3,False,2,2026-02-18 15:05:57.229,28.0,760.1339721679688,382.79083251953125,1.7854225635528564,21.21051025390625,2,2
11,car,3,False,3,2026-02-18 15:05:57.954,16.0,760.4967041015625,383.4195251464844,1.7832250595092773,21.280715942382812,3,3
11,car,3,False,4,2026-02-18 15:05:58.667,28.0,765.4454956054688,390.9150695800781,1.7680174112319946,22.10905647277832,4,4
11,car,3,False,5,2026-02-18 15:05:59.433,35.0,768.8909301757812,396.9674987792969,1.7469972372055054,22.75060272216797,5,5
11,car,3,False,6,2026-02-18 15:06:00.195,40.0,771.770751953125,402.810546875,1.719954013824463,23.34808921813965,6,6
11,car,3,False,7,2026-02-18 15:06:00.944,38.0,774.7003784179688,408.3475646972656,1.6982247829437256,23.902006149291992,7,7
11,car,3,False,8,2026-02-18 15:06:01.713,37.0,778.1552124023438,413.11962890625,1.6947890520095825,24.3786563873291,8,8
11,car,3,False,9,2026-02-18 15:06:02.494,34.0,781.2611083984375,417.23046875,1.6939425468444824,24.782594680786133,9,9
11,car,3,False,10,2026-02-18 15:06:03.243,37.0,784.357421875,423.19781494140625,1.6706693172454834,25.34087562561035,10,10
11,car,3,False,11,2026-02-18 15:06:03.973,37.0,787.7875366210938,429.485107421875,1.6493816375732422,25.915361404418945,11,11
11,car,3,False,12,2026-02-18 15:06:04.718,37.0,791.1361083984375,435.53753662109375,1.6301352977752686,26.454378128051758,12,12
11,car,3,False,13,2026-02-18 15:06:05.482,37.0,795.23779296875,442.0420227050781,1.6175477504730225,27.02357292175293,13,13
11,car,3,False,14,2026-02-18 15:06:06.221,37.0,798.9014282226562,448.5621337890625,1.5986357927322388,27.574235916137695,14,14
11,car,3,False,15,2026-02-18 15:06:06.979,37.0,802.8115234375,454.8916015625,1.5859278440475464,28.09830093383789,15,15
11,car,3,False,16,2026-02-18 15:06:07.733,36.0,806.6214599609375,461.515869140625,1.5689029693603516,28.62969207763672,16,16
11,car,3,False,17,2026-02-18 15:06:08.476,36.0,810.3870849609375,468.18096923828125,1.5512603521347046,29.14958953857422,17,17
11,car,2,False,18,2026-02-18 15:06:09.220,36.0,814.520263671875,475.5146179199219,1.5322375297546387,29.705856323242188,18,18
11,car,2,False,19,2026-02-18 15:06:09.995,36.0,818.6509399414062,482.567626953125,1.5166056156158447,30.22743034362793,19,19
11,car,2,False,20,2026-02-18 15:06:10.695,36.0,823.2793579101562,490.1944580078125,1.5023797750473022,30.777162551879883,20,20
29,car,8,False,1,2026-02-18 15:05:56.411,0.0,1404.778564453125,343.9918212890625,14.209845542907715,25.085346221923828,1,1
29,car,8,False,2,2026-02-18 15:05:57.229,23.0,1397.953125,341.39166259765625,14.207154273986816,24.72907829284668,2,2
29,car,8,False,3,2026-02-18 15:05:57.954,14.0,1396.7822265625,340.945556640625,14.20669174194336,24.667457580566406,3,3
29,car,8,False,4,2026-02-18 15:05:58.667,23.0,1383.771484375,335.8008117675781,14.210301399230957,23.952455520629883,4,4
29,car,8,False,5,2026-02-18 15:05:59.433,31.0,1373.827880859375,331.74273681640625,14.219133377075195,23.378477096557617,5,5
29,car,8,False,6,2026-02-18 15:06:00.195,31.0,1365.2838134765625,328.5010986328125,14.215092658996582,22.90277671813965,6,6
29,car,8,False,7,2026-02-18 15:06:00.944,30.0,1356.817626953125,325.6209716796875,14.194950103759766,22.461196899414062,7,7
29,car,8,False,8,2026-02-18 15:06:01.713,29.0,1349.2532958984375,322.983154296875,14.179815292358398,22.053041458129883,8,8
29,car,8,False,9,2026-02-18 15:06:02.494,29.0,1341.64599609375,320.0697937011719,14.177143096923828,21.605344772338867,9,9
29,car,8,False,10,2026-02-18 15:06:03.243,30.0,1334.147705078125,317.07733154296875,14.180444717407227,21.14209747314453,10,10
29,car,8,False,11,2026-02-18 15:06:03.973,30.0,1326.847412109375,314.18609619140625,14.182604789733887,20.686185836791992,11,11
29,car,8,False,12,2026-02-18 15:06:04.718,30.0,1319.630126953125,311.3127136230469,14.185532569885254,20.226058959960938,12,12
