Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_mile,Duration_seconds
640,89,1301,1389,58.0,52.0,55.73863636363637,0.04570278716809566,2.933333333333333
610,86,1312,1398,58.0,48.0,54.72941176470588,0.044849593997441546,2.8666666666666667
621,85,1316,1400,60.0,51.0,56.285714285714285,0.044951052128526264,2.8
623,85,1334,1419,69.0,55.0,57.142857142857146,0.045277567875719384,2.8333333333333335
663,101,1367,1467,51.0,46.0,49.77,0.046300745097648255,3.3333333333333335
679,4,1388,1392,62.0,53.0,57.333333333333336,0.002182068364295113,0.13333333333333333
702,119,1423,1541,44.0,40.0,42.652542372881356,0.04683764313757677,3.933333333333333
707,116,1429,1544,45.0,41.0,44.095652173913045,0.04718571022271714,3.8333333333333335
717,122,1452,1573,43.0,40.0,42.107438016528924,0.04755214245683023,4.033333333333333
616,88,1467,1555,66.0,52.0,54.47126436781609,0.0445201039129316,2.933333333333333
735,104,1480,1584,48.0,44.0,46.66990291262136,0.04563594493027222,3.466666666666667
760,108,1531,1638,48.0,44.0,47.08411214953271,0.04680708885713039,3.566666666666667
779,3,1549,1551,54.0,50.0,52.0,0.001008899433226827,0.06666666666666667
781,113,1559,1671,47.0,43.0,45.357142857142854,0.047274570019654426,3.7333333333333334
810,100,1610,1709,51.0,47.0,49.36363636363637,0.045478374393899464,3.3
808,4,1610,1620,48.0,47.0,47.666666666666664,0.0031178152275693474,0.3333333333333333
678,110,1615,1724,51.0,35.0,42.981651376146786,0.044666673466491356,3.6333333333333333
723,99,1631,1729,52.0,41.0,49.16326530612245,0.04563759545497778,3.2666666666666666
733,111,1635,1745,47.0,40.0,44.22727272727273,0.045928201537618285,3.6666666666666665
823,117,1640,1756,46.0,42.0,44.258620689655174,0.0476679242554144,3.8666666666666667
787,98,1650,1747,55.0,44.0,49.845360824742265,0.04564072110624693,3.2333333333333334
829,106,1652,1757,50.0,46.0,48.68571428571428,0.04730475281543474,3.5
725,97,1654,1750,52.0,35.0,49.09375,0.04458369077797616,3.2
836,116,1674,1789,46.0,41.0,44.45217391304348,0.04720722857714457,3.8333333333333335
724,93,1682,1774,55.0,41.0,51.92391304347826,0.04482467104718888,3.066666666666667
745,106,1686,1791,52.0,43.0,47.04761904761905,0.04597977164530295,3.5
855,107,1730,1836,50.0,44.0,48.264150943396224,0.04709337139825898,3.533333333333333
791,108,1731,1838,48.0,42.0,45.63551401869159,0.04631728690099347,3.566666666666667
769,96,1745,1840,82.0,48.0,50.33684210526316,0.04460018578798851,3.1666666666666665
771,99,1773,1871,52.0,44.0,49.8469387755102,0.04598347066863496,3.2666666666666666
749,98,1794,1893,50.0,43.0,47.44329896907217,0.04435691063028069,3.3
822,95,1802,1898,53.0,47.0,49.648936170212764,0.045184500120217796,3.2
894,96,1835,1930,55.0,51.0,53.747368421052634,0.04743884006014558,3.1666666666666665
774,106,1844,1949,49.0,36.0,45.41904761904762,0.04551839718124595,3.5
910,4,1857,1860,52.0,43.0,49.0,0.0014638472531062752,0.1
911,3,1858,1860,53.0,50.0,51.5,0.0009831922328106017,0.06666666666666667
819,98,1863,1960,53.0,41.0,49.51546391752577,0.04568238199784761,3.2333333333333334
914,11,1864,1874,51.0,43.0,49.2,0.004695451826414907,0.3333333333333333
801,95,1867,1962,57.0,48.0,50.91489361702128,0.04524770213832527,3.1666666666666665
917,89,1870,1958,58.0,52.0,56.80681818181818,0.04661184903411538,2.933333333333333
920,4,1870,1873,53.0,46.0,49.666666666666664,0.0014417375911303437,0.1
924,4,1877,1880,56.0,49.0,52.666666666666664,0.0015076546836788466,0.1
925,3,1878,1881,76.0,48.0,62.0,0.0014178711585518878,0.1
933,2,1886,1887,46.0,46.0,46.0,0.00043323364972747505,0.03333333333333333
938,96,1905,2000,55.0,51.0,53.33684210526316,0.04707649826665771,3.1666666666666665
853,91,1919,2009,59.0,48.0,53.08888888888889,0.04515404943803843,3.0
953,97,1950,2046,54.0,50.0,52.375,0.046815705166707515,3.2
962,4,1956,1959,55.0,48.0,51.333333333333336,0.0014735794019110097,0.1
984,93,2004,2096,57.0,52.0,55.391304347826086,0.04711043744921452,3.066666666666667
929,99,2013,2111,53.0,38.0,49.1530612244898,0.046065177956557145,3.2666666666666666
909,106,2117,2222,48.0,41.0,46.23809523809524,0.04605150588648561,3.5
968,94,2138,2231,55.0,47.0,50.064516129032256,0.04359359414926274,3.1
1025,99,2139,2238,52.0,48.0,50.244897959183675,0.0461203790711915,3.3
1027,103,2146,2248,51.0,47.0,49.85294117647059,0.047140316352288325,3.4
981,104,2159,2262,49.0,42.0,47.271844660194176,0.04596679734066323,3.433333333333333
1026,102,2196,2297,54.0,30.0,47.524752475247524,0.04507416149641481,3.3666666666666667
1037,2,2196,2198,42.0,42.0,42.0,0.00039770263769461835,0.06666666666666667
955,95,2205,2299,53.0,43.0,50.776595744680854,0.04525516722992297,3.1333333333333333
1003,93,2207,2299,54.0,34.0,51.44565217391305,0.04513576024017091,3.066666666666667
1047,57,2213,2315,75.0,41.0,48.339285714285715,0.04604324273255896,3.4
1048,2,2229,2231,48.0,48.0,48.0,0.00044682445381944233,0.06666666666666667
995,94,2258,2351,55.0,49.0,52.61290322580645,0.04601129261093729,3.1
993,88,2293,2380,58.0,48.0,54.59770114942529,0.04519547905013545,2.9
1064,105,2294,2398,49.0,45.0,47.84615384615385,0.046507933908075005,3.466666666666667
1067,100,2313,2415,50.0,46.0,48.82828282828283,0.046389194779947525,3.4
1068,110,2317,2426,47.0,44.0,45.96330275229358,0.046715120790406954,3.6333333333333333
1006,111,2375,2485,46.0,41.0,43.627272727272725,0.04525407581272999,3.6666666666666665
1082,107,2395,2502,48.0,44.0,46.801886792452834,0.046352684722422044,3.566666666666667
1022,109,2411,2519,53.0,42.0,44.675925925925924,0.0453597914405687,3.6
1095,89,2422,2510,56.0,51.0,54.52272727272727,0.044609664571715994,2.933333333333333
1042,78,2431,2510,64.0,50.0,59.57142857142857,0.04497896833813287,2.6333333333333333
1099,94,2451,2554,51.0,47.0,49.10752688172043,0.046116378179997954,3.433333333333333
1105,91,2467,2557,56.0,52.0,54.06666666666667,0.045394976793784236,3.0
1111,103,2484,2586,49.0,45.0,48.18627450980392,0.04573411189191875,3.4
1079,95,2586,2680,59.0,27.0,52.0,0.046250336734294836,3.1333333333333333
1084,84,2608,2691,62.0,53.0,57.54216867469879,0.04520158025220038,2.7666666666666666
1071,82,2637,2718,60.0,52.0,57.49382716049383,0.04404559781141401,2.7
1183,111,2684,2794,48.0,43.0,46.29090909090909,0.047246543895585316,3.6666666666666665
1134,89,2714,2802,58.0,49.0,55.14772727272727,0.04607812714235256,2.933333333333333
1205,104,2735,2838,50.0,46.0,48.62135922330097,0.04660020522248325,3.433333333333333
1220,107,2774,2880,48.0,44.0,46.9811320754717,0.04639105948825209,3.533333333333333
1236,122,2814,2935,43.0,40.0,41.6198347107438,0.047124175492277494,4.033333333333333
1239,94,2831,2924,56.0,52.0,54.53763440860215,0.04710658296443079,3.1
1151,98,2853,2950,52.0,45.0,49.30927835051546,0.045561009758538946,3.2333333333333334
1247,106,2873,2978,49.0,45.0,47.695238095238096,0.04663387799190969,3.5
1256,96,2890,2985,55.0,49.0,53.45263157894737,0.04701163572806576,3.1666666666666665
1176,88,2924,3013,57.0,48.0,52.9080459770115,0.04469993928542529,2.966666666666667
1285,1,2959,2959,0,0,0,0.0,0.0
1289,1,2964,2964,0,0,0,0.0,0.0
1291,4,2969,2973,83.0,48.0,62.333333333333336,0.002066165956402928,0.13333333333333333
1294,3,2977,2980,87.0,53.0,70.0,0.0016223656228520592,0.1
1204,128,3024,3151,41.0,27.0,38.354330708661415,0.046316466877484086,4.233333333333333
1230,90,3039,3128,56.0,48.0,52.561797752808985,0.044402784207554384,2.966666666666667
1335,110,3095,3204,48.0,43.0,46.10091743119266,0.04670311274353038,3.6333333333333333
1346,4,3125,3131,59.0,51.0,55.666666666666664,0.00316578240444231,0.2
1213,107,3149,3255,48.0,41.0,45.39622641509434,0.045696268457090516,3.533333333333333
1265,86,3151,3236,58.0,51.0,55.16470588235294,0.044113211245226415,2.8333333333333335
1367,107,3176,3284,47.0,44.0,46.094339622641506,0.04646762582308646,3.6
1393,109,3220,3329,47.0,43.0,45.19444444444444,0.0462403914448516,3.6333333333333333
1402,5,3232,3237,61.0,53.0,57.75,0.002703796932375347,0.16666666666666666
1409,113,3252,3364,47.0,42.0,45.419642857142854,0.04716326447068235,3.7333333333333334
1427,38,3300,3403,48.0,42.0,45.16216216216216,0.0453922060931116,3.433333333333333
1439,106,3335,3440,49.0,45.0,47.857142857142854,0.04680744367707988,3.5
1441,38,3340,3447,46.0,43.0,44.270270270270274,0.04611974033201258,3.566666666666667
1331,103,3380,3482,50.0,42.0,46.69607843137255,0.04510128185322472,3.4
1421,104,3418,3521,60.0,37.0,47.28155339805825,0.046338675769910506,3.433333333333333
1406,107,3432,3538,48.0,40.0,45.056603773584904,0.04550396352518939,3.533333333333333
1425,99,3435,3533,53.0,44.0,49.48979591836735,0.04600166224086261,3.2666666666666666
1485,2,3447,3449,76.0,76.0,76.0,0.0014149719045660773,0.06666666666666667
1458,106,3451,3556,49.0,41.0,46.19047619047619,0.04546776096820402,3.5
1486,116,3452,3567,45.0,41.0,43.70434782608696,0.04703536265232851,3.8333333333333335
1493,1,3457,3457,0,0,0,0.0,0.0
1496,2,3462,3464,47.0,47.0,47.0,0.0004356482649786105,0.06666666666666667
1499,2,3472,3473,44.0,44.0,44.0,0.00041440626010854053,0.03333333333333333
1436,103,3521,3623,51.0,43.0,47.34313725490196,0.04563820111021541,3.4
1435,104,3530,3633,51.0,31.0,46.66019417475728,0.04661352722891111,3.433333333333333
1459,99,3549,3648,57.0,41.0,49.04081632653061,0.04543083211413508,3.3
1468,105,3560,3664,51.0,44.0,47.0,0.04614438940177748,3.466666666666667
1497,100,3564,3663,52.0,46.0,48.84848484848485,0.045693337366812185,3.3
1434,102,3583,3684,63.0,43.0,47.257425742574256,0.04428504571301356,3.3666666666666667
1567,1,3646,3646,0,0,0,0.0,0.0
1609,2,3682,3684,44.0,44.0,44.0,0.00041209363467893114,0.06666666666666667
1512,106,3737,3842,49.0,40.0,45.96190476190476,0.04568562850911749,3.5
1622,97,3744,3840,53.0,49.0,51.71875,0.04629537726206784,3.2
1629,58,3748,3852,75.0,45.0,48.0,0.04645103570683576,3.466666666666667
1631,112,3753,3864,46.0,43.0,44.85585585585586,0.04642122832025954,3.7
1643,106,3782,3887,49.0,45.0,47.93333333333333,0.046666836262840225,3.5
1650,103,3817,3919,49.0,47.0,48.627450980392155,0.04614227787440952,3.4
1662,92,3832,3942,47.0,43.0,45.0989010989011,0.04618269127393543,3.6666666666666665
1659,97,3834,3930,53.0,48.0,51.40625,0.04589506618220849,3.2
1671,2,3835,3837,42.0,42.0,42.0,0.00039668613705795287,0.06666666666666667
1576,93,3849,3941,55.0,46.0,52.79347826086956,0.04599435515946462,3.066666666666667
1681,111,3875,3986,47.0,44.0,45.518181818181816,0.04688606096332762,3.7
1687,102,3887,3988,51.0,47.0,49.12871287128713,0.04605912737765982,3.3666666666666667
1585,91,3940,4030,56.0,47.0,52.01111111111111,0.04459237122629211,3.0
1719,106,3943,4048,50.0,46.0,47.87619047619047,0.04696215135149735,3.5
1750,81,3966,4046,64.0,61.0,63.325,0.046404174749583,2.6666666666666665
1764,92,4015,4106,56.0,50.0,54.0989010989011,0.04586689020415102,3.033333333333333
1700,100,4061,4161,51.0,43.0,48.4040404040404,0.04589936914263339,3.3333333333333335
1780,104,4066,4169,51.0,47.0,49.25242718446602,0.04720246563086056,3.433333333333333
1673,95,4067,4161,53.0,44.0,50.319148936170215,0.04483931605276774,3.1333333333333333
1790,104,4092,4195,51.0,47.0,49.55339805825243,0.04753465403005714,3.433333333333333
1711,90,4099,4188,60.0,41.0,52.438202247191015,0.04428756256265022,2.966666666666667
1746,97,4102,4198,61.0,48.0,50.875,0.04550008960138285,3.2
1799,97,4119,4215,54.0,50.0,52.583333333333336,0.046753391500070234,3.2
1708,91,4148,4238,56.0,46.0,52.644444444444446,0.04538622642133158,3.0
1813,6,4156,4161,51.0,46.0,49.8,0.0023610428371698693,0.16666666666666666
1725,92,4174,4265,57.0,46.0,53.48351648351648,0.0460505222865558,3.033333333333333
1766,90,4188,4277,59.0,48.0,53.95505617977528,0.04517388607391861,2.966666666666667
1759,99,4195,4293,51.0,44.0,47.683673469387756,0.04452538330769724,3.2666666666666666
1838,2,4231,4232,53.0,53.0,53.0,0.0004907986708750382,0.03333333333333333
1870,2,4268,4269,48.0,48.0,48.0,0.00044903589813206137,0.03333333333333333
1876,2,4277,4279,45.0,45.0,45.0,0.0004222654248198212,0.06666666666666667
1768,103,4312,4415,50.0,41.0,46.745098039215684,0.04523864740347881,3.433333333333333
1912,97,4382,4478,53.0,49.0,52.09375,0.04667036522599423,3.2
1908,110,4384,4493,49.0,44.0,46.908256880733944,0.04755518809774507,3.6333333333333333
1928,1,4388,4388,0,0,0,0.0,0.0
1874,32,4483,4514,41.0,39.0,40.483870967741936,0.011927242585575808,1.0333333333333334
